YR_MO;CALL_DATE;AGENT_ID;AGENT_NAME;TEAM_LEAD_ID;TEAM_LEAD_NAME;CALL_CENTER;CALLS;HANDLE_TIME;CALL_REGEN;CALLS_WITH_OFFER;CALLS_WITH_ACCEPT;CALLS_OFFER_APPLIED;TRANSFERS;AHT_MULTI;CALL_REGEN_MULTI;TRANSFERS_MULTI;APPLIED_PER_CALL_MULTI;BREAKAGE_MULTI
201706;01/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;29;25402;7;26;19;12;3;22620;4,843;2,378;14,645;5,829
201706;01/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;29;25429;8;26;20;12;3;22620;4,843;2,378;14,645;5,829
201706;01/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;33;24917;7;28;22;11;4;25740;5,511;2,706;16,665;6,633
201706;01/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;32;24700;9;28;22;9;4;24960;5,344;2,624;16,16;6,432
201706;01/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;32;24876;9;29;18;7;4;24960;5,344;2,624;16,16;6,432
201706;02/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;37;24506;4;34;27;19;3;28860;6,179;3,034;18,685;7,437
201706;02/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;35;24330;4;33;30;22;2;27300;5,845;2,87;17,675;7,035
201706;02/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;34;24415;5;31;27;20;2;26520;5,678;2,788;17,17;6,834
201706;02/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;40;24096;7;36;28;21;3;31200;6,68;3,28;20,2;8,04
201706;02/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;32;25167;4;30;25;22;2;24960;5,344;2,624;16,16;6,432
201706;02/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;37;24323;7;34;30;23;2;28860;6,179;3,034;18,685;7,437
201706;02/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;33;24678;6;33;24;19;2;25740;5,511;2,706;16,665;6,633
201706;02/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;39;24376;7;39;31;28;3;30420;6,513;3,198;19,695;7,839
201706;02/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;30;25472;5;27;18;14;2;23400;5,01;2,46;15,15;6,03
201706;02/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;35;25522;7;35;24;17;3;27300;5,845;2,87;17,675;7,035
201706;02/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;31;24940;5;29;19;15;2;24180;5,177;2,542;15,655;6,231
201706;02/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;31;25854;7;31;23;18;2;24180;5,177;2,542;15,655;6,231
201706;02/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;35;25104;5;32;26;19;3;27300;5,845;2,87;17,675;7,035
201706;02/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;35;25651;8;31;21;14;3;27300;5,845;2,87;17,675;7,035
201706;02/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;30;24910;7;30;23;14;2;23400;5,01;2,46;15,15;6,03
201706;02/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;35;25382;6;34;29;19;3;27300;5,845;2,87;17,675;7,035
201706;03/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;35;24988;7;33;27;19;3;27300;5,845;2,87;17,675;7,035
201706;03/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;31;25292;7;28;23;18;2;24180;5,177;2,542;15,655;6,231
201706;03/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;31;24210;7;26;19;15;2;24180;5,177;2,542;15,655;6,231
201706;03/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;32;25276;7;31;23;17;3;24960;5,344;2,624;16,16;6,432
201706;03/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;36;24231;8;34;26;16;3;28080;6,012;2,952;18,18;7,236
201706;03/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;33;25034;5;31;26;17;2;25740;5,511;2,706;16,665;6,633
201706;03/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;33;24618;8;28;21;15;2;25740;5,511;2,706;16,665;6,633
201706;03/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;36;25225;6;31;24;14;4;28080;6,012;2,952;18,18;7,236
201706;03/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;28;25367;7;26;20;11;3;21840;4,676;2,296;14,14;5,628
201706;03/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;33;24788;8;29;18;11;4;25740;5,511;2,706;16,665;6,633
201706;03/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;31;24869;7;28;22;13;3;24180;5,177;2,542;15,655;6,231
201706;03/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;29;24267;7;27;19;10;3;22620;4,843;2,378;14,645;5,829
201706;03/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;31;25962;9;27;17;9;3;24180;5,177;2,542;15,655;6,231
201706;03/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;28;25406;7;25;17;8;3;21840;4,676;2,296;14,14;5,628
201706;03/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;33;24662;7;30;20;12;4;25740;5,511;2,706;16,665;6,633
201706;03/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;32;24978;8;29;23;13;3;24960;5,344;2,624;16,16;6,432
201706;04/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;38;25249;5;35;27;23;2;29640;6,346;3,116;19,19;7,638
201706;04/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;39;24035;5;37;28;20;2;30420;6,513;3,198;19,695;7,839
201706;04/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;32;25637;4;31;26;21;2;24960;5,344;2,624;16,16;6,432
201706;04/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;39;24214;6;35;25;20;2;30420;6,513;3,198;19,695;7,839
201706;04/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;36;24205;7;34;27;23;2;28080;6,012;2,952;18,18;7,236
201706;04/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;34;24076;6;33;29;24;2;26520;5,678;2,788;17,17;6,834
201706;04/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;39;25515;5;39;34;29;3;30420;6,513;3,198;19,695;7,839
201706;04/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;37;25783;5;33;28;25;2;28860;6,179;3,034;18,685;7,437
201706;05/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;32;24019;3;29;23;17;2;24960;5,344;2,624;16,16;6,432
201706;05/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;40;24176;4;40;32;25;2;31200;6,68;3,28;20,2;8,04
201706;05/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;39;25574;4;38;33;26;3;30420;6,513;3,198;19,695;7,839
201706;05/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;34;25605;4;32;25;21;2;26520;5,678;2,788;17,17;6,834
201706;05/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;32;25030;4;30;21;17;2;24960;5,344;2,624;16,16;6,432
201706;05/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;36;25582;5;35;28;23;2;28080;6,012;2,952;18,18;7,236
201706;05/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;32;24610;4;30;23;17;2;24960;5,344;2,624;16,16;6,432
201706;05/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;33;24992;5;33;26;21;2;25740;5,511;2,706;16,665;6,633
201706;05/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;30;25897;5;26;21;16;3;23400;5,01;2,46;15,15;6,03
201706;05/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;31;25598;8;28;19;12;2;24180;5,177;2,542;15,655;6,231
201706;05/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;35;24827;6;31;26;17;3;27300;5,845;2,87;17,675;7,035
201706;05/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;34;25985;8;31;20;16;3;26520;5,678;2,788;17,17;6,834
201706;05/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;36;25864;9;31;24;14;3;28080;6,012;2,952;18,18;7,236
201706;05/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;32;24881;6;29;23;17;3;24960;5,344;2,624;16,16;6,432
201706;05/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;35;24061;8;34;27;16;4;27300;5,845;2,87;17,675;7,035
201706;05/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;31;25985;7;26;17;13;2;24180;5,177;2,542;15,655;6,231
201706;05/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;29;25760;7;26;17;8;3;22620;4,843;2,378;14,645;5,829
201706;05/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;28;25354;8;27;21;15;3;21840;4,676;2,296;14,14;5,628
201706;05/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;29;25769;7;25;17;9;3;22620;4,843;2,378;14,645;5,829
201706;05/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;29;24412;6;26;21;12;3;22620;4,843;2,378;14,645;5,829
201706;05/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;31;25024;8;27;17;10;3;24180;5,177;2,542;15,655;6,231
201706;05/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;31;25894;9;28;19;9;3;24180;5,177;2,542;15,655;6,231
201706;05/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;33;24311;10;28;21;13;4;25740;5,511;2,706;16,665;6,633
201706;05/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;31;25605;7;29;21;10;3;24180;5,177;2,542;15,655;6,231
201706;06/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;36;24810;6;33;25;20;2;28080;6,012;2,952;18,18;7,236
201706;06/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;35;24278;6;33;24;18;2;27300;5,845;2,87;17,675;7,035
201706;06/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;32;25467;4;30;22;18;2;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;32;25329;5;32;27;21;2;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;36;25573;4;33;27;19;2;28080;6,012;2,952;18,18;7,236
201706;06/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;33;25068;4;31;28;21;2;25740;5,511;2,706;16,665;6,633
201706;06/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;40;25365;7;36;28;24;2;31200;6,68;3,28;20,2;8,04
201706;06/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;33;24771;4;32;22;17;2;25740;5,511;2,706;16,665;6,633
201706;06/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;31;24040;7;29;22;18;3;24180;5,177;2,542;15,655;6,231
201706;06/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;33;25196;5;29;20;13;3;25740;5,511;2,706;16,665;6,633
201706;06/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;36;24484;5;35;26;18;3;28080;6,012;2,952;18,18;7,236
201706;06/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;32;25331;6;28;20;16;3;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;32;25384;7;28;18;13;3;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;35;25535;7;32;26;18;2;27300;5,845;2,87;17,675;7,035
201706;06/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;35;24199;7;33;26;19;3;27300;5,845;2,87;17,675;7,035
201706;06/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;34;25768;6;32;26;18;3;26520;5,678;2,788;17,17;6,834
201706;06/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;33;24517;8;31;24;14;3;25740;5,511;2,706;16,665;6,633
201706;06/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;29;24563;8;25;19;9;3;22620;4,843;2,378;14,645;5,829
201706;06/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;28;24515;8;25;20;9;3;21840;4,676;2,296;14,14;5,628
201706;06/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;32;25985;9;30;24;15;4;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;32;25062;6;30;18;12;4;24960;5,344;2,624;16,16;6,432
201706;06/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;33;25082;9;29;19;11;3;25740;5,511;2,706;16,665;6,633
201706;06/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;30;24396;8;28;17;10;3;23400;5,01;2,46;15,15;6,03
201706;06/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;30;24614;7;26;20;8;3;23400;5,01;2,46;15,15;6,03
201706;07/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;33;24129;6;32;24;17;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;30;24354;6;27;20;15;2;23400;5,01;2,46;15,15;6,03
201706;07/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;35;24753;7;32;27;17;3;27300;5,845;2,87;17,675;7,035
201706;07/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;36;25456;5;31;25;17;3;28080;6,012;2,952;18,18;7,236
201706;07/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;33;24569;8;31;25;18;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;33;24258;7;29;23;15;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;32;25232;7;28;22;16;3;24960;5,344;2,624;16,16;6,432
201706;07/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;33;25329;6;29;25;19;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;28;25789;6;26;20;10;3;21840;4,676;2,296;14,14;5,628
201706;07/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;31;24294;9;27;20;10;4;24180;5,177;2,542;15,655;6,231
201706;07/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;33;24591;8;28;18;12;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;33;24936;8;28;22;10;3;25740;5,511;2,706;16,665;6,633
201706;07/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;28;24854;6;27;20;13;3;21840;4,676;2,296;14,14;5,628
201706;07/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;28;25335;8;26;19;9;3;21840;4,676;2,296;14,14;5,628
201706;07/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;31;24646;7;29;20;13;3;24180;5,177;2,542;15,655;6,231
201706;07/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;33;25792;8;31;20;11;4;25740;5,511;2,706;16,665;6,633
201706;08/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;40;25576;4;37;28;24;2;31200;6,68;3,28;20,2;8,04
201706;08/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;32;25209;4;30;22;19;2;24960;5,344;2,624;16,16;6,432
201706;08/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;37;25358;6;37;33;29;2;28860;6,179;3,034;18,685;7,437
201706;08/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;40;24546;5;39;31;24;2;31200;6,68;3,28;20,2;8,04
201706;08/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;38;24312;7;38;29;21;2;29640;6,346;3,116;19,19;7,638
201706;08/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;37;24717;6;35;29;21;2;28860;6,179;3,034;18,685;7,437
201706;08/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;32;25793;6;29;22;19;2;24960;5,344;2,624;16,16;6,432
201706;08/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;30;25994;6;28;20;10;3;23400;5,01;2,46;15,15;6,03
201706;08/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;31;25647;8;28;17;7;3;24180;5,177;2,542;15,655;6,231
201706;08/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;31;24408;7;28;22;15;4;24180;5,177;2,542;15,655;6,231
201706;08/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;30;25295;7;27;20;9;3;23400;5,01;2,46;15,15;6,03
201706;08/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;29;25525;7;25;18;9;3;22620;4,843;2,378;14,645;5,829
201706;08/06/2017;201700143;Younger, Yeti;201700013;Oferten, Quinton;Williamburg;32;25375;9;29;19;10;4;24960;5,344;2,624;16,16;6,432
201706;08/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;29;25598;8;26;18;10;3;22620;4,843;2,378;14,645;5,829
201706;08/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;29;25457;6;27;21;11;3;22620;4,843;2,378;14,645;5,829
201706;09/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;34;24067;5;32;24;18;2;26520;5,678;2,788;17,17;6,834
201706;09/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;32;25552;3;29;21;19;2;24960;5,344;2,624;16,16;6,432
201706;09/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;36;25843;6;33;25;18;2;28080;6,012;2,952;18,18;7,236
201706;09/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;32;25796;4;29;25;18;2;24960;5,344;2,624;16,16;6,432
201706;09/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;37;25009;6;33;28;20;2;28860;6,179;3,034;18,685;7,437
201706;09/06/2017;201700126;Filipsano, Fiona;201700011;Winnerson, Aceona;Williamburg;36;24522;4;35;28;24;3;28080;6,012;2,952;18,18;7,236
201706;09/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;32;24953;5;32;27;22;2;24960;5,344;2,624;16,16;6,432
201706;09/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;36;25114;5;33;26;20;3;28080;6,012;2,952;18,18;7,236
201706;09/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;35;24060;8;30;22;14;4;27300;5,845;2,87;17,675;7,035
201706;09/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;36;25146;6;33;23;15;3;28080;6,012;2,952;18,18;7,236
201706;09/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;31;25656;6;31;21;13;2;24180;5,177;2,542;15,655;6,231
201706;09/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;36;25151;8;34;28;20;3;28080;6,012;2,952;18,18;7,236
201706;09/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;34;24261;8;29;24;16;3;26520;5,678;2,788;17,17;6,834
201706;09/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;31;25906;6;27;20;15;3;24180;5,177;2,542;15,655;6,231
201706;09/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;35;25156;7;33;28;19;3;27300;5,845;2,87;17,675;7,035
201706;10/06/2017;201700129;Ivanski, Igor;201700012;Jimson, Bill;Williamburg;31;25693;7;30;21;13;2;24180;5,177;2,542;15,655;6,231
201706;10/06/2017;201700130;Jeffries, Johnna;201700012;Jimson, Bill;Williamburg;33;24827;8;28;20;16;3;25740;5,511;2,706;16,665;6,633
201706;10/06/2017;201700131;Kippers, Kat;201700012;Jimson, Bill;Williamburg;31;24715;6;28;22;14;3;24180;5,177;2,542;15,655;6,231
201706;10/06/2017;201700132;Lipp, Larry;201700012;Jimson, Bill;Williamburg;35;24305;7;34;29;22;4;27300;5,845;2,87;17,675;7,035
201706;10/06/2017;201700133;Myers, Matt;201700012;Jimson, Bill;Williamburg;34;24749;5;29;23;17;2;26520;5,678;2,788;17,17;6,834
201706;10/06/2017;201700134;Nichols, Nana;201700012;Jimson, Bill;Williamburg;33;24722;8;28;22;16;3;25740;5,511;2,706;16,665;6,633
201706;10/06/2017;201700135;Ohlson, Octavius;201700012;Jimson, Bill;Williamburg;33;25032;8;33;26;16;3;25740;5,511;2,706;16,665;6,633
201706;10/06/2017;201700136;Pulaski, Peter;201700012;Jimson, Bill;Williamburg;30;24653;7;26;20;16;3;23400;5,01;2,46;15,15;6,03
201706;10/06/2017;201700138;Sanders, Sammi;201700013;Oferten, Quinton;Williamburg;29;24115;6;26;21;12;3;22620;4,843;2,378;14,645;5,829
201706;10/06/2017;201700139;Thomas, Ted;201700013;Oferten, Quinton;Williamburg;32;25632;8;30;22;12;3;24960;5,344;2,624;16,16;6,432
201706;10/06/2017;201700140;Uvaldon, Ursala;201700013;Oferten, Quinton;Williamburg;32;25800;10;28;21;10;4;24960;5,344;2,624;16,16;6,432
201706;10/06/2017;201700141;Vindictive, Vinny;201700013;Oferten, Quinton;Williamburg;30;25484;6;28;18;8;3;23400;5,01;2,46;15,15;6,03
201706;10/06/2017;201700142;Williamson, Wilma;201700013;Oferten, Quinton;Williamburg;33;24368;7;30;18;9;3;25740;5,511;2,706;16,665;6,633
201706;10/06/2017;201700144;Zwilowski, Zane;201700013;Oferten, Quinton;Williamburg;32;25754;7;28;22;9;4;24960;5,344;2,624;16,16;6,432
201706;10/06/2017;201700145;Abacus, Aaron;201700013;Oferten, Quinton;Williamburg;30;25963;8;26;18;7;4;23400;5,01;2,46;15,15;6,03
201706;11/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;34;25112;6;32;27;20;2;26520;5,678;2,788;17,17;6,834
201706;11/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;39;25873;8;36;26;20;2;30420;6,513;3,198;19,695;7,839
201706;11/06/2017;201700123;Centerville, Cece;201700011;Winnerson, Aceona;Williamburg;33;25916;6;33;28;22;2;25740;5,511;2,706;16,665;6,633
201706;11/06/2017;201700124;Davenport, Davina;201700011;Winnerson, Aceona;Williamburg;36;24940;5;32;26;23;2;28080;6,012;2,952;18,18;7,236
201706;11/06/2017;201700125;Edgerton, Ethan;201700011;Winnerson, Aceona;Williamburg;36;25677;4;34;24;20;3;28080;6,012;2,952;18,18;7,236
201706;11/06/2017;201700127;Gee, Garry;201700011;Winnerson, Aceona;Williamburg;37;25124;6;34;24;21;2;28860;6,179;3,034;18,685;7,437
201706;11/06/2017;201700128;Harrison, Harold;201700011;Winnerson, Aceona;Williamburg;32;24518;5;29;21;18;2;24960;5,344;2,624;16,16;6,432
201706;12/06/2017;201700121;Anderson, Albert;201700011;Winnerson, Aceona;Williamburg;37;24054;5;34;26;20;3;28860;6,179;3,034;18,685;7,437
201706;12/06/2017;201700122;Binning, Bart;201700011;Winnerson, Aceona;Williamburg;35;24333;5;35;27;23;2;27300;5,845;2,87;17,675;7,035
